Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
PF07568	[Histidine kinase]		0.121281988	Meat	0.695298567	0.891175003
COG3506	Uncharacterized conserved protein	Function unknown	0.123650896	Meat	0.695298567	0.891175003
K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis	0.124885543	Meat	0.695298567	0.891175003
K05540	tRNA-dihydrouridine synthase B [EC:1.-.-.-]	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	0.128228024	Meat	0.695298567	0.891175003
K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.133768878	Meat	0.695298567	0.891175003
PF13835	[Domain of unknown function (DUF4194)]		0.15191749	Meat	0.695298567	0.891175003
PF09983	[Uncharacterized protein conserved in bacteria C-term(DUF2220)]		0.152125192	Meat	0.695298567	0.891175003
K17319	putative aldouronate transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.168769493	Meat	0.695298567	0.891175003
K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	Environmental Information Processing; Signal transduction; Two-component system	0.170247243	Meat	0.695298567	0.891175003
K00851	gluconokinase [EC:2.7.1.12]	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway	0.186832444	Meat	0.695298567	0.891175003
PF06810	[Phage minor structural protein GP20]		0.195017576	Meat	0.695298567	0.891175003
PF04223	"[Citrate lyase, alpha subunit (CitF)]"		0.217377022	Meat	0.695298567	0.891175003
K06016	beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]	Metabolism; Nucleotide metabolism; Pyrimidine metabolism	0.21771816	Meat	0.695298567	0.891175003
K19118	CRISPR-associated protein Csd2	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	0.256067858	Meat	0.695298567	0.891175003
K03228	type III secretion protein T	Environmental Information Processing; Membrane transport; Bacterial secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	0.1951411	Meat	0.695647816	0.891555556
ENOG410ZSSQ		Function unknown	0.432426733	Meat	0.695810057	0.891696397
ENOG4111XMM		Function unknown	0.210598958	Meat	0.696354956	0.892260442
COG3350	Uncharacterized conserved protein	Function unknown	0.289118295	Meat	0.696834533	0.892807781
ENOG410ZC4E		Function unknown	0.983580588	Meat	0.697898931	0.894039745
K19134	CRISPR-associated protein Csx10	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	0.178954465	Meat	0.69790105	0.894039745
ENOG4111ZD2	Peptidoglycan binding protein	Cell wall/membrane/envelope biogenesis	0.036231751	Meat	0.699228238	0.895495987
K07266	capsular polysaccharide export protein	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins	0.493640372	Meat	0.699248099	0.895495987
ENOG4111M4M		Function unknown	0.260535542	Meat	0.699674214	0.895906981
ENOG410XQ3U	atp gtp binding protein	Function unknown	0.270044687	Meat	0.70018145	0.896489088
ENOG4111WRA	(ABC) transporter	Carbohydrate transport and metabolism	0.172837319	Meat	0.700921275	0.897120255
ENOG4111W7K	glyoxalase	Function unknown	0.192137048	Meat	0.700921275	0.897120255
K00863	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Organismal Systems; Immune system; RIG-I-like receptor signaling pathway	0.327102942	Meat	0.701285746	0.897120255
PF06253	[Trimethylamine methyltransferase (MTTB)]		0.151119399	Meat	0.701551787	0.897120255
k_Bacteria.p_Firmicutes.c_Negativicutes.o_Veillonellales.f_Veillonellaceae.g_Veillonella.s_Veillonella.atypica	NA	NA	0.694578788	Meat	0.701551787	0.897120255
K03289	"MFS transporter, NHS family, nucleoside permease"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.257190588	Meat	0.70168725	0.897120255
ENOG410Y8U6		Function unknown	0.109365327	Meat	0.701961842	0.897120255
ENOG4111I0E	PemK-like protein	Function unknown	0.414551744	Meat	0.702854168	0.897120255
ENOG410Y441	AraC family transcriptional regulator	Transcription	0.152332218	Meat	0.702923994	0.897120255
ENOG410YESU		Cell wall/membrane/envelope biogenesis	0.198675353	Meat	0.703750587	0.897120255
ENOG410XNME	Type I secretion membrane fusion protein (HlyD	"Intracellular trafficking, secretion, and vesicular transport"	0.280599758	Meat	0.703777022	0.897120255
K08170	"MFS transporter, DHA2 family, multidrug resistance protein"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	0.329164678	Meat	0.705011781	0.897120255
K12944	nucleoside triphosphatase [EC:3.6.1.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.24366931	Meat	0.705188039	0.897120255
ENOG410Y74T	Rod shape-determining protein MreD	Cell wall/membrane/envelope biogenesis	0.326118731	Meat	0.705188039	0.897120255
ENOG410ZFY9	conserved protein	Function unknown	0.520793555	Meat	0.705188039	0.897120255
K15373	sulfoacetaldehyde reductase [EC:1.1.1.313]	Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism	0.319312653	Meat	0.705815946	0.897120255
ENOG410ZK5M	IG	Function unknown	0.77927285	Meat	0.705815946	0.897120255
ENOG4111JSF	Prophage Lp2 protein 4	Function unknown	0.012096578	Meat	0.706254836	0.897120255
ENOG41125RW		Function unknown	0.274652373	Meat	0.706254836	0.897120255
COG3423	Predicted transcriptional regulator	Transcription	0.287171622	Meat	0.706676171	0.897120255
COG3147	Uncharacterized protein conserved in bacteria	Function unknown	0.312835597	Meat	0.706676171	0.897120255
PF16259	[Domain of unknown function (DUF4913)]		0.305723133	Meat	0.707566862	0.897120255
COG4772	Outer membrane receptor for Fe3+-dicitrate	Inorganic ion transport and metabolism	0.220877523	Meat	0.707908102	0.897120255
COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid	Inorganic ion transport and metabolism	0.311806142	Meat	0.707908102	0.897120255
ENOG410Y6W3		Function unknown	0.431441181	Meat	0.707908102	0.897120255
ENOG4111XZR	Gcn5-related n-acetyltransferase	Function unknown	0.03303467	Meat	0.708019812	0.897120255
ENOG410XQW5	Lysophospholipid transporter LplT	Carbohydrate transport and metabolism	0.331890915	Meat	0.708019812	0.897120255
ENOG410YPQK	Replication initiator	"Replication, recombination and repair"	0.344876354	Meat	0.708019812	0.897120255
ENOG410Y0KE	membrAne	Function unknown	0.403962156	Meat	0.708019812	0.897120255
K19234	"L,D-transpeptidase YnhG"	Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	0.141076704	Meat	0.708099526	0.897120255
K19784	"chromate reductase, NAD(P)H dehydrogenase (quinone)"	Not Included in Pathway or Brite; Unclassified: metabolism; Secondary metabolism	0.259654244	Meat	0.708099526	0.897120255
K05522	endonuclease VIII [EC:3.2.2.- 4.2.99.18]	Genetic Information Processing; Replication and repair; Base excision repair | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	0.362146178	Meat	0.708099526	0.897120255
COG2842	"Uncharacterized ATPase, putative transposase"	General function prediction only	0.020696095	Meat	0.708184483	0.897120255
K10010	L-cystine transport system ATP-binding protein [EC:7.4.2.1]	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.236594555	Meat	0.708184483	0.897120255
K05275	pyridoxine 4-dehydrogenase [EC:1.1.1.65]	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism	0.332874512	Meat	0.708184483	0.897120255
COG1767	Triphosphoribosyl-dephospho-CoA synthetase	Coenzyme metabolism	0.370819522	Meat	0.708200404	0.897120255
COG0696	Phosphoglyceromutase	Carbohydrate transport and metabolism	0.001728505	Meat	0.708205711	0.897120255
PF19583	[]		0.012220069	Meat	0.708205711	0.897120255
K01689	enolase [EC:4.2.1.11]	"Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Methane metabolism | Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"	0.015660341	Meat	0.708205711	0.897120255
K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	"Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"	0.016533639	Meat	0.708205711	0.897120255
COG1321	Mn-dependent transcriptional regulator	Transcription	0.017793519	Meat	0.708205711	0.897120255
PF13596	[PAS domain]		0.024968922	Meat	0.708205711	0.897120255
COG1148	"Heterodisulfide reductase, subunit A and related polyferredoxins"	Energy production and conversion	0.027568088	Meat	0.708205711	0.897120255
COG3959	"Transketolase, N-terminal subunit"	Carbohydrate transport and metabolism	0.037353978	Meat	0.708205711	0.897120255
COG1181	D-alanine-D-alanine ligase and related ATP-grasp enzymes	"Cell envelope biogenesis, outer membrane"	0.040473502	Meat	0.708205711	0.897120255
K02992	small subunit ribosomal protein S7	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.041828535	Meat	0.708205711	0.897120255
PF00430	[ATP synthase B/B' CF(0)]		0.042057612	Meat	0.708205711	0.897120255
PF02603	[HPr Serine kinase N terminus]		0.042099107	Meat	0.708205711	0.897120255
PF01451	[Low molecular weight phosphotyrosine protein phosphatase]		0.042321699	Meat	0.708205711	0.897120255
COG0431	Predicted flavoprotein	General function prediction only	0.0431441	Meat	0.708205711	0.897120255
K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	0.045469913	Meat	0.708205711	0.897120255
ENOG4111XY5		Function unknown	0.047219635	Meat	0.708205711	0.897120255
COG5011	Uncharacterized protein conserved in bacteria	Function unknown	0.049306593	Meat	0.708205711	0.897120255
K01534	Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 3.6.3.5]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.052428909	Meat	0.708205711	0.897120255
K16787	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.060736929	Meat	0.708205711	0.897120255
COG0343	Queuine/archaeosine tRNA-ribosyltransferase	"Translation, ribosomal structure and biogenesis"	0.063790566	Meat	0.708205711	0.897120255
PF00383	[Cytidine and deoxycytidylate deaminase zinc-binding region]		0.066666166	Meat	0.708205711	0.897120255
COG1397	ADP-ribosylglycohydrolase	"Posttranslational modification, protein turnover, chaperones"	0.074353171	Meat	0.708205711	0.897120255
PF01992	[ATP synthase (C/AC39) subunit]		0.08586554	Meat	0.708205711	0.897120255
ENOG410YIJR		Function unknown	0.127176112	Meat	0.708205711	0.897120255
COG3007	Uncharacterized paraquat-inducible protein B	Function unknown	0.135897781	Meat	0.708205711	0.897120255
PF01717	"[Cobalamin-independent synthase, Catalytic domain]"		0.160202675	Meat	0.708205711	0.897120255
COG2247	Putative cell wall-binding domain	"Cell envelope biogenesis, outer membrane"	0.165792092	Meat	0.708205711	0.897120255
PF06067	[Domain of unknown function (DUF932)]		0.166513547	Meat	0.708205711	0.897120255
K07491	putative transposase	Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair	0.168244786	Meat	0.708205711	0.897120255
COG0783	DNA-binding ferritin-like protein (oxidative damage protectant)	Inorganic ion transport and metabolism	0.1713643	Meat	0.708205711	0.897120255
PF06559	[2'-deoxycytidine 5'-triphosphate deaminase (DCD)]		0.179183698	Meat	0.708205711	0.897120255
COG3191	L-aminopeptidase/D-esterase	"Secondary metabolites biosynthesis, transport and catabolism|Amino acid transport and metabolism"	0.181429736	Meat	0.708205711	0.897120255
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Eisenbergiella.s_Eisenbergiella.sp.	NA	NA	0.192050656	Meat	0.708205711	0.897120255
K19158	toxin YoeB [EC:3.1.-.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	0.193225023	Meat	0.708205711	0.897120255
ENOG4111PQH	conjugative transposon membrane protein	Function unknown	0.206481831	Meat	0.708205711	0.897120255
PF00652	[Ricin-type beta-trefoil lectin domain]		0.241527366	Meat	0.708205711	0.897120255
K07783	"MFS transporter, OPA family, sugar phosphate sensor protein UhpC"	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.258386829	Meat	0.708205711	0.897120255
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Roseburia.sp.	NA	NA	0.280420355	Meat	0.708205711	0.897120255
COG3410	Uncharacterized conserved protein	Function unknown	0.293074865	Meat	0.708205711	0.897120255
PF05662	[Coiled stalk of trimeric autotransporter adhesin]		0.295042956	Meat	0.708205711	0.897120255
PF05658	[Head domain of trimeric autotransporter adhesin]		0.327717676	Meat	0.708205711	0.897120255
ENOG4111VGM	Sec-C motif domain protein	Function unknown	0.406880272	Meat	0.708205711	0.897120255
ENOG4111P4D		Function unknown	0.424681819	Meat	0.708205711	0.897120255
ENOG410YPBM		Function unknown	0.035895878	Meat	0.710810738	0.899550528
ENOG410YT74		Function unknown	0.241743436	Meat	0.710810738	0.899550528
ENOG410ZXMP	Protein of unknown function DUF58	Function unknown	0.23243311	Meat	0.711088325	0.899768127
ENOG410Y5BR		Function unknown	0.361508924	Meat	0.711495408	0.900149493
PF05108	"[Type VII secretion system ESX-1, transport TM domain B]"		0.411300775	Meat	0.711495408	0.900149493
ENOG4111S8V	Pyrogenic exotoxin B	Function unknown	0.327848913	Meat	0.711864123	0.900549089
ENOG4112522	Flagellar protein FliS	Function unknown	0.187607235	Meat	0.71300899	0.901863454
COG2887	RecB family exonuclease	"DNA replication, recombination and repair"	0.236842728	Meat	0.714685931	0.902834822
ENOG410XQSG	Nad-dependent epimerase dehydratase	Function unknown	0.24574621	Meat	0.714685931	0.902834822
PF14266	[Putative component of 'biosynthetic module']		0.706642693	Meat	0.714685931	0.902834822
ENOG410YHJ9		Function unknown	0.152754803	Meat	0.716947126	0.902834822
ENOG410YFF0	SusD family	Function unknown	0.251297953	Meat	0.718757523	0.902834822
ENOG41128QS		Function unknown	0.0527489	Meat	0.719091462	0.902834822
ENOG4111G4W		Function unknown	0.093145583	Meat	0.719091462	0.902834822
ENOG410Z1KF	ATP-dependent endonuclease of the OLD	Function unknown	0.352262506	Meat	0.719091462	0.902834822
K22430	caffeyl-CoA reductase-Etf complex subunit CarC [EC:1.3.1.108]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.291663646	Meat	0.719325124	0.902834822
K04013	cytochrome c-type protein NrfB	Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism	0.32675652	Meat	0.719325124	0.902834822
ENOG410XP57	glycosyl transferase group 1	Cell wall/membrane/envelope biogenesis	0.641413139	Meat	0.719325124	0.902834822
ENOG4111R54	s-layer domain protein	Function unknown	0.355273974	Meat	0.719729459	0.902834822
ENOG41100V7		Function unknown	0.038161219	Meat	0.720616262	0.902834822
PF01590	[GAF domain]		0.280246555	Meat	0.72076852	0.902834822
ENOG410YQWC		Function unknown	0.245802937	Meat	0.720844276	0.902834822
ENOG410XNXG	relaxase mobilization nuclease domain protein	Function unknown	0.194732455	Meat	0.720911639	0.902834822
PF11694	[Protein of unknown function (DUF3290)]		0.229801819	Meat	0.721146287	0.902834822
ENOG41125RT		Function unknown	0.154763865	Meat	0.721176849	0.902834822
PF05170	[AsmA family]		0.293759721	Meat	0.721176849	0.902834822
ENOG410Y061		Function unknown	0.320889247	Meat	0.721176849	0.902834822
K01880	glycyl-tRNA synthetase [EC:6.1.1.14]	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	0.003132297	Meat	0.721197219	0.902834822
K10709	fructoselysine 3-epimerase [EC:5.1.3.41]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.00626732	Meat	0.721197219	0.902834822
COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	"DNA replication, recombination and repair"	0.007826814	Meat	0.721197219	0.902834822
PF02852	"[Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain]"		0.008708029	Meat	0.721197219	0.902834822
COG0534	Na+-driven multidrug efflux pump	"('{} (path not available)', 'COG0534')"	0.013588665	Meat	0.721197219	0.902834822
COG2068	Uncharacterized MobA-related protein	General function prediction only	0.015757008	Meat	0.721197219	0.902834822
PF02811	[PHP domain]		0.016234382	Meat	0.721197219	0.902834822
K06972	presequence protease [EC:3.4.24.-]	Brite Hierarchies; Protein families: metabolism; Peptidases	0.017038378	Meat	0.721197219	0.902834822
K11105	cell volume regulation protein A	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.019857731	Meat	0.721197219	0.902834822
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism	0.020796983	Meat	0.721197219	0.902834822
K01209	alpha-N-arabinofuranosidase [EC:3.2.1.55]	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism	0.021276311	Meat	0.721197219	0.902834822
K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	"Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"	0.023310801	Meat	0.721197219	0.902834822
COG1385	Uncharacterized protein conserved in bacteria	Function unknown	0.028296756	Meat	0.721197219	0.902834822
ENOG410ZNVS	stage ii sporulation protein p	Function unknown	0.029219461	Meat	0.721197219	0.902834822
PF06723	[MreB/Mbl protein]		0.033039351	Meat	0.721197219	0.902834822
K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	0.03461926	Meat	0.721197219	0.902834822
COG4604	"ABC-type enterochelin transport system, ATPase component"	Inorganic ion transport and metabolism	0.038236672	Meat	0.721197219	0.902834822
K01232	maltose-6'-phosphate glucosidase [EC:3.2.1.122]	Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism	0.041177295	Meat	0.721197219	0.902834822
COG1648	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	Coenzyme metabolism	0.041606118	Meat	0.721197219	0.902834822
COG1960	Acyl-CoA dehydrogenases	Lipid metabolism	0.050073345	Meat	0.721197219	0.902834822
PF01416	[tRNA pseudouridine synthase]		0.05223421	Meat	0.721197219	0.902834822
COG4465	Pleiotropic transcriptional repressor	Transcription	0.054229978	Meat	0.721197219	0.902834822
COG1409	Predicted phosphohydrolases	General function prediction only	0.060327302	Meat	0.721197219	0.902834822
K02122	V/A-type H+/Na+-transporting ATPase subunit F	Metabolism; Energy metabolism; Oxidative phosphorylation	0.060596891	Meat	0.721197219	0.902834822
COG4810	Ethanolamine utilization protein	Amino acid transport and metabolism	0.064490043	Meat	0.721197219	0.902834822
K06185	"ATP-binding cassette, subfamily F, member 2"	Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	0.073566991	Meat	0.721197219	0.902834822
ENOG410YU1D	FAD binding domain in molybdopterin dehydrogenase	Energy production and conversion	0.076675973	Meat	0.721197219	0.902834822
K03742	nicotinamide-nucleotide amidase [EC:3.5.1.42]	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism	0.078954231	Meat	0.721197219	0.902834822
K02538	"activator of the mannose operon, transcriptional antiterminator"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.080332018	Meat	0.721197219	0.902834822
PF12727	[PBP superfamily domain]		0.083496142	Meat	0.721197219	0.902834822
COG0665	Glycine/D-amino acid oxidases (deaminating)	Amino acid transport and metabolism	0.096487779	Meat	0.721197219	0.902834822
PF18937	[]		0.096838261	Meat	0.721197219	0.902834822
ENOG410XRFP	domain protein	Function unknown	0.101296751	Meat	0.721197219	0.902834822
K07814	putative two-component system response regulator	Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	0.102681266	Meat	0.721197219	0.902834822
ENOG4111ITI	response regulator	Signal transduction mechanisms	0.112160254	Meat	0.721197219	0.902834822
PF14393	[Domain of unknown function (DUF4422)]		0.114286514	Meat	0.721197219	0.902834822
K01214	isoamylase [EC:3.2.1.68]	Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism	0.12659146	Meat	0.721197219	0.902834822
ENOG411259G	phage protein	Function unknown	0.127346523	Meat	0.721197219	0.902834822
K17320	putative aldouronate transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.134353116	Meat	0.721197219	0.902834822
PF03747	[ADP-ribosylglycohydrolase]		0.137407183	Meat	0.721197219	0.902834822
K01421	putative membrane protein	Not Included in Pathway or Brite; Poorly characterized; General function prediction only	0.137720698	Meat	0.721197219	0.902834822
PF02664	[S-Ribosylhomocysteinase (LuxS)]		0.141045583	Meat	0.721197219	0.902834822
PF20155	[]		0.152794264	Meat	0.721197219	0.902834822
ENOG4111J2V	Transposase	"Replication, recombination and repair"	0.158362091	Meat	0.721197219	0.902834822
K03293	"amino acid transporter, AAT family"	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Transport	0.193560254	Meat	0.721197219	0.902834822
COG0433	Predicted ATPase	General function prediction only	0.199918236	Meat	0.721197219	0.902834822
COG4377	Predicted membrane protein	Function unknown	0.211568349	Meat	0.721197219	0.902834822
k_Bacteria.p_Actinobacteria.c_Actinomycetia.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium.pseudocatenulatum	NA	NA	0.228840523	Meat	0.721197219	0.902834822
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Roseburia.intestinalis	NA	NA	0.244891435	Meat	0.721197219	0.902834822
ENOG410YASD		Function unknown	0.306155734	Meat	0.721197219	0.902834822
PF16116	[Domain of unknown function (DUF4832)]		0.490474437	Meat	0.721197219	0.902834822
ENOG410XQ4Q	PglZ domain protein	Function unknown	0.542792608	Meat	0.721197219	0.902834822
K15269	probable blue pigment (indigoidine) exporter	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.181844417	Meat	0.721981568	0.903750297
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Subdoligranulum.s_Subdoligranulum.variabile	NA	NA	0.251934197	Meat	0.722299734	0.904082127
PF18090	[]		0.194984423	Meat	0.723821969	0.905721253
ENOG410Y6KY	Acetyltransferase (GT) family	Function unknown	0.121073468	Meat	0.724767104	0.906716233
ENOG410YE18		Function unknown	0.234151455	Meat	0.724767104	0.906716233
ENOG410ZKC2		Function unknown	0.048102784	Meat	0.726123648	0.908067706
ENOG4110GG4	ATP-binding component of a transport system	"Intracellular trafficking, secretion, and vesicular transport"	0.330343999	Meat	0.72689763	0.908768751
K09128	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	0.380846898	Meat	0.72689763	0.908768751
ENOG410YCWB	VanZ like family 	Function unknown	0.238791082	Meat	0.727548978	0.909394616
K09967	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	0.151126187	Meat	0.727673704	0.909394616
PF01142	[tRNA pseudouridine synthase D (TruD)]		0.154437137	Meat	0.727673704	0.909394616
ENOG410Z9WF		Function unknown	0.211785437	Meat	0.728534228	0.910235772
ENOG4111PFT		Function unknown	0.16868481	Meat	0.729418247	0.910235772
ENOG410Y12H		Defense mechanisms	0.402197612	Meat	0.730201939	0.910235772
ENOG410XRFJ	ec 3.2.1.81	Function unknown	0.250366205	Meat	0.7320244	0.910235772
ENOG410Z03M	Transfer protein	Function unknown	0.3499427	Meat	0.732123717	0.910235772
K02462	general secretion pathway protein M	Environmental Information Processing; Membrane transport; Bacterial secretion system | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	0.389523835	Meat	0.732478006	0.910235772
ENOG410ZR3Q		Function unknown	0.492792498	Meat	0.732612687	0.910235772
COG2999	Glutaredoxin 2	"Posttranslational modification, protein turnover, chaperones"	0.323435283	Meat	0.732864985	0.910235772
ENOG410ZK0W		Function unknown	0.536740897	Meat	0.733191121	0.910235772
COG5499	Predicted transcription regulator containing HTH domain	Transcription	0.385022852	Meat	0.733461991	0.910235772
COG4674	"Uncharacterized ABC-type transport system, ATPase component"	General function prediction only	0.222090429	Meat	0.733683	0.910235772
K18922	protein HokE	Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system	0.131255543	Meat	0.733859412	0.910235772
ENOG410ZTIN		Function unknown	0.132181021	Meat	0.733859412	0.910235772
ENOG4111SPS	CAAX amino terminal protease family	Function unknown	0.041228615	Meat	0.733996379	0.910235772
K16088	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.247418504	Meat	0.733996379	0.910235772
K09971	general L-amino acid transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.303822222	Meat	0.734098966	0.910235772
ENOG410ZNXT		Function unknown	0.673011946	Meat	0.73417217	0.910235772
K11203	"PTS system, fructose-specific IIC-like component"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	0.235002419	Meat	0.734220939	0.910235772
ENOG410ZFWF	AIPR protein	Function unknown	0.049380133	Meat	0.734250187	0.910235772
ENOG4110WDH		Function unknown	0.07494479	Meat	0.734250187	0.910235772
ENOG4110P7J		Function unknown	0.339730993	Meat	0.734250187	0.910235772
ENOG411263Z	Phage P2 GpU	Function unknown	0.239775514	Meat	0.734260114	0.910235772
PF01987	[Mitochondrial biogenesis AIM24]		6.49483E-07	Meat	0.734269681	0.910235772
K03147	phosphomethylpyrimidine synthase [EC:4.1.99.17]	Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism	0.005876961	Meat	0.734269681	0.910235772
